Rad = 05,00 Teff = 3560,0
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,1244E009; NewMaxFlx = 1,7920
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,3251E009; NewMaxFlx = 2,0612
Rad = 55,00 Teff = 4060,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,4094E009; NewMaxFlx = 1,2704
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 1,7618E009; NewMaxFlx = 1,5010
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,2100E009; NewMaxFlx = 1,7442
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,3824E009; NewMaxFlx = 2,0117
Rad = 55,00 Teff = 4160,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,4510E009; NewMaxFlx = 1,2340
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 1,8139E009; NewMaxFlx = 1,4580
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,3053E009; NewMaxFlx = 1,6939
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,4443E009; NewMaxFlx = 1,9607
Rad = 55,00 Teff = 4260,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,5021E009; NewMaxFlx = 1,1920
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 1,8742E009; NewMaxFlx = 1,4111
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,4098E009; NewMaxFlx = 1,6420
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,5112E009; NewMaxFlx = 1,9085
Rad = 55,00 Teff = 4360,0
